Incident_2019	Incident_2020	Incident_2021	Incident_2022	Incident_2023	Incident_2024	Incident_2025
Assist Other Agency 	Fire Department Call	Motor Vehicle Stop	Motor Vehicle Stop	Alarm - Fire	Dispute	TAPS - Other
Fight -Unarmed 	Administrative Assignment	Relief / Personal	Non-Emergency Assist	Harassment  2C:33-4	Domestic Violence  2C:25-21	Group
City Ordinance	Car Wash	Car Wash	Welfare Check	Investigation-Follow up	Targeted Area Patrol	TAPS - Park
Abandoned Auto	Medical Call –Oxygen	Patrol Check	Theft  2C:20-3	Aggravated Assault 2C:12-1b	HQ Assignment	Alarm - Fire
Property Damage (Non-Criminal) 	Parking Offense	Hazard All Other	Dogs at Large	Arrest Process	Fire Department Call	Relief / Personal
Motor Vehicle Crash	Targeted Area Patrol	Desk Coverage	Disabled Motor Vehicle	Transportation	Parking Complaint	Canceled Call
Targeted Area Patrol	Criminal Mischief  2C:17-3	Notification Request	Traffic Detail	Administrative Assignment	Property – Found	9-1-1 Call
Theft  2C:20-3 	Blocked Driveway	Fire Department Call	Motor Vehicle Theft	Dogs at Large	Motor Vehicle Crash	Hazardous Condition - Sewer Call
Motor Vehicle Violation – Private Property	Theft  2C:20-3	Welfare Check	Motor Vehicle Crash	Welfare Check	Domestic Dispute	Peace Officer
Disturbance	Disturbance	Service of TRO / FRO	Hazardous Condition -Sewer Call	Notification Request	Dogs at Large	Domestic Violence - 2C:25-21
Suspicious Person	Medical Call/Injury	Suspicious Vehicle	Hazard All Other	Hazard All Other	Duty to Warn 	Medical Call
Motor Vehicle Complaint 	Alarm - Panic	Blocked Driveway	Simple Assault  2C:12-1a	Traffic Detail	Abandoned 9-1-1Emergency	Abandoned 9-1-1 Emergency
Motor Vehicle Stop	Hazard All Other	Insecure Building	Handle With Care	Assist Other Agency	Motor Vehicle Crash – Hit and Run	Desk Coverage
Peace Officer 	Suspicious Vehicle	Illegal Dumping	Property – Lost	Prisoner Transport	Motor Vehicle Violation – Private Property	Motor Vehicle Crash - Hit and Run
Motor Vehicle Theft 	Property – Lost	Property – Found	Motor Vehicle Violation – Private Property	License Plate-Lost/Stolen	Investigation-Follow up	Prisoner Transport
Unlawful Taking  2C:20-10 	Repossessed Motor Vehicle	City Ordinance	Suspicious Incident	Disabled Motor Vehicle	Docket – Pick up	Missing Person - Adult
Motor Vehicle Lock-out	Motor Vehicle Violation – Private Property	Motor Vehicle Impound	Injured On Duty	Insecure Building	Suspicious Person	Disturbance
A.T.R.A.	Motor Vehicle Crash	Motor Vehicle Crash	Overnight Parking	Unwanted Person	Assist Other Agency	Parking Complaint
Group	Abandoned 9-1-1Emergency	Aggravated Assault 2C:12-1b	Unwanted Person	Domestic Violence  2C:25-21	Canceled Call	Suspicious Person
Warrant Arrest	Lock-Out Residence	Unwanted Person	Peace Officer	City Ordinance Warning	Warrant Arrest	HQ Assignment
Motor Vehicle Violation	Theft of Services  2C:20-8	HQ Assignment	Suspicious Person	Lock-Out Residence	Service of TRO / FRO	Disabled Motor Vehicle
Domestic Violence  2C:25-21	Suspicious Incident	Dogs at Large	Lock-Out Residence	Car Wash	City Ordinance	Theft of Lost/Mislaid Property - 2C:20-6
Aggravated Assault 2C:12-1b	Traffic Detail	Overnight Parking	Desk Coverage	Property – Found	Prisoner Transport	Traffic Sign / Signal Malfunction
Refuel Vehicle 	Transportation	Disabled Motor Vehicle	Fight -Unarmed	Medical Call –Oxygen	Traffic Detail	Lock-Out Residence
Traffic Detail	Motor Vehicle Crash – Pedestrian Struck	Suspicious Incident	Warrant Arrest	Missing Person	Abandoned Auto	Mental Health Incident
Illegal Dumping 	OPRA Request	Motor Vehicle Crash – Hit and Run	Refuel Vehicle	Blocked Driveway	ESU - Targeted Patrol	police Assist
Prisoner Transport	Dogs at Large	E.D.P. 	Fire Department Call	Motor Vehicle Stop	Traffic Enforcement Detail	Harassment - 2C:33-4
Criminal Mischief  2C:17-3	Fraud	9-1-1 Call	Vehicle Maintenance	Motor Vehicle Impound	Motor Vehicle Stop	TAPS - Parking Garage
Applicant Firearm	Animal Complaint	Animal Complaint	Criminal Mischief  2C:17-3	Criminal Mischief  2C:17-3	Applicant Firearm(s)	Welfare Check
Property – Lost	Applicant Firearm	Hazardous Condition -Sewer Call	Abandoned 9-1-1Emergency	Motor Vehicle Crash	Car Wash	Theft - 2C:20-3
Domestic Dispute	Suspicious Person	Abandoned Auto	City Ordinance	Group	Theft  2C:20-3	Fight - Armed
Car Wash	Escort - Money	RDF Deployment	Parking Complaint	Overnight Parking	Fraud	Vehicle Maintenance
Escort - Money	Arrest Process	Parking Complaint	9-1-1 Call	Burglary  2C:18-2	9-1-1 Call	Traffic Light Malfunction
Records Request 	Suicidal Party	Alarm - Panic	Blocked Driveway	Refuel Vehicle	ESU - Training	Motor Vehicle Impound
Theft of Services  2C:20-8 	Car Seat Installation	Property – Lost	Property – Found	Domestic Dispute	Fire	Applicant Firearm(s)
Disabled Motor Vehicle	Harassment  2C:33-4	Fireworks Complaint	Motor Vehicle Crash – Pedestrian Struck	Peace Officer	Shoplifting  2C:20-11	TAPS - Medical Facility
Alarm - Fire	Motor Vehicle Lock-out	Motor Vehicle Violation – Private Property	Suspicious Vehicle	Theft  2C:20-3	Harassment  2C:33-4	OPRA Request
Dogs at Large 	Service of TRO / FRO	Intoxicated Person	Suicidal Party	Fire Department Call	Motor Vehicle Lock-out	Training
HQ Assignment	Prisoner Transport	Assist Other Agency	Domestic Violence  2C:25-21	Hazard-Pothole	Records Request - DCPP (DYFS)	UAS Operation
Missing Person	General Investigation	Traffic Detail	Juvenile Investigation	0	Suspicious Incident	Wire Down
Narcotics Investigation  	Vehicle Maintenance	Alarm - Fire	ABC Liquor License Applicant	Fight -Armed	Notification Request	Motor Vehicle Complaint
Investigation-Follow up	Disabled Motor Vehicle	Motor Vehicle Complaint	Background Checks	Hazardous Condition -Sewer Call	Aggravated Assault 2C:12-1b	Suspicious Vehicle
Fraud 	Assist Motorist	fire	OPRA Request	Vehicle Maintenance	Theft of Services  2C:20-8	Suspicious Incident
Parking Complaint 	Alarm - Other	Alarm - Other	Applicant Firearm	Narcotics Investigation	Discovery-Motor Vehicle	TAPS - ESU - Business
Vehicle Maintenance	Juvenile Investigation	Fight -Unarmed	Car Wash	Police Assist	Suicidal Party	Car Seat Installation
Motor Vehicle Crash – Hit and Run	Overnight Parking	Transportation	Property Damage (City Property)	9-1-1 Call	Police Assist	Simple Assault - 2C:12-1a
Missing Person- Return	Motor Vehicle Impound	Criminal Mischief  2C:17-3	Records Request	Unknown Investigation	Property – Lost	Applicant Handicapped Permit
E.D.P. 	E.D.P. 	Generated in Error	Records Request - DCPP (DYFS)	Records Request - DCPP (DYFS)	Peace Officer	Motor Vehicle Stop
Unknown Investigation	Burglary  2C:18-2	A.T.R.A.	Motor Vehicle Crash -  w/injury	Motor Vehicle Violation – Private Property	Missing Person	TAPS - Religious Facility
Overnight Parking 	Records Request	Training	Applicant ABC License	OPRA Request	Intoxicated Person	General Investigation
Coffee Break	Applicant Handicapped Permit	Abandoned 9-1-1Emergency	Applicant Handicapped Permit	Training	Community Engagement - Community Policing	Escort - Money
Alarm - Panic 	Good Conduct Letter Request	Domestic Violence  2C:25-21	Harassment  2C:33-4	Parking Complaint	Desk Coverage	Juvenile Investigation
Transportation	Coffee Break	Traffic Hazard	Alarm - Panic	Property – Lost	Alarm - Fire	Car Wash
Pursuit – Foot	Background Checks	OPRA Request	Notification Request	Applicant ABC License	Repossessed Motor Vehicle	Shoplifting - 2C:20-11
Repossessed Motor Vehicle 	Bad Checks 2C:21-5	Motor Vehicle Crash -  w/injury	Fraud	fraud	Disabled Motor Vehicle	TAPS - ESU - Medical Facility
Fingerprints	Property Damage (City Property)	Bad Checks 2C:21-5	E.D.P. 	Records Request	Background Checks	Animal Cruelty
Insecure Building	Parking Complaint	Violation: TRO/ FRO  2C:25-31	Motor Vehicle Crash – Hit and Run	Escort - Money	Vehicle Maintenance	Repossessed Motor Vehicle
Hazardous Condition -Sewer Call 	Simple Assault  2C:12-1a	fraud	Prisoner Transport	Background Checks	Assist Motorist	Investigation - Follow-Up
Applicant Handicapped Permit	Narcotics Investigation	Records Request	Motor Vehicle Impound	Motor Vehicle Complaint	Suspicious Vehicle	Counterfeit Money
Good Conduct Letter Request	Property Damage (Non-Criminal)	Shoplifting  2C:20-11	Motor Vehicle Lock-out	Weapons/Unlawful Purposes  2C:39-4	OPRA Request	Fire Department Call
Applicant ABC License	Refuel Vehicle	Repossessed Motor Vehicle	Discovery-Motor Vehicle	Juvenile Investigation	RDT Deployment	Service - TRO
Assist Motorist	Motor Vehicle Complaint	Prisoner Transport	Docket – Drop Off	Criminal Sexual Contact  2C:14-3a	Applicant Handicapped Permit	City Ordinance
Suicidal Party 	Motor Vehicle Violation – Commercial Vehicle	Injured On Duty	Child Abuse - Title 9	Discovery-Motor Vehicle	Animal Complaint	Insecure Building
Simple Assault  2C:12-1a 	Shoplifting  2C:20-11	Traffic Sign / Signal Malfunction	Applicant Landscaper/Snow Rem	Animal Complaint	Group	Hazard All Other
Identity Theft 	Sex Offender Registration	Disturbance	ABC Inspection	Motor Vehicle Crash – Pedestrian Struck	Generated in Error	fraud
Motor Vehicle Impound	Warrant Arrest	Background Checks	Assist Motorist	Terroristic Threats  2C:12-3	D.P.W. Assist	Motor Vehicle Crash - Pedestrian Struck
Sex Offender Registration 	Patrol Check	Medical Emergency	Motor Vehicle Violation – Commercial Vehicle	Repossessed Motor Vehicle	Identity Theft	Motor Vehicle - Private Property Tow
9-1-1 Call	A.T.R.A.	Records Request - DCPP (DYFS)	Insecure Building	Generated in Error	Applicant Snow Removal 	Service - FRO
Fire 	Insecure Building	Motor Vehicle Violation	Patrol Check	Traffic Enforcement Detail	UAS Operation	Traffic Detail
Traffic Enforcement Detail 	Missing Person	Property Damage (City Property)	group	Good Conduct Letter Request	Motor Vehicle Violation	TAPS - ESU - School
License Plate-Lost/Stolen	Motor Vehicle Theft	Motor Vehicle Violation – Commercial Vehicle	Service of TRO / FRO	Property Damage (City Property)	Wire down	Background Checks
Notification Request	Investigation-Follow up	Harassment  2C:33-4	Animal Cruelty	Alarm - Other	Sexual Assault  2C:14-2b	Applicant Concealed Carry
Docket – Drop Off	Missing Person- Return	Narcotics Investigation	Unregistered Vehicle  39:3-4	Medical Emergency	Bad Checks 2C:21-5	Sudden Death Investigation
School Crossing	Traffic Sign / Signal Malfunction	Suicidal Party	Duty to Warn 	A.T.R.A.	Records Request	Records Request - DCPP (DYFS)
Property – Found	City Ordinance	Applicant ABC License	Coffee Break	DCPP (DYFS)	Escort - Money	Violation: TRO/ FRO - 2C:29-9b
Intoxicated Person	group	Parking Offense	Motor Vehicle Violation	Service of TRO / FRO	Alarm - Panic	Applicant ABC License
General Investigation	Motor Vehicle Crash -  w/injury	Coffee Break	A.T.R.A.	Stranded Party	Motor Vehicle Crash -  w/injury	Alarm - Panic
Patrol Check 	Training	Missing Person	Missing Person	Street Light	General Investigation	Motor Vehicle Violation
Service of TRO / FRO	fire	Sex Offender Registration	Parking Offense	Wire down	Sex Offender Registration	Applicant City Employee
Criminal Sexual Contact  2C:14-3a	Injured On Duty	Surrender of Weapon	Applicant City Employee	Sex Offender Registration	Medical Call/Injury	Motor Vehicle Lock-out
Generated in Error	Court - Superior	Recovered Stolen Vehicle	Motor Vehicle Complaint	Applicant City Employee	Applicant Spa Therapy	Docket – Pick up
Assist Own Agency (Backup) 	Peace Officer	Refuel Vehicle	DCPP (DYFS)	Conditional Dismissal Process	Motor Vehicle Theft  2C:20-3	Sex Offender Registration
Parking Offense	Applicant ABC License	D.O.A	Medical Emergency	Applicant Landscaper/Snow Rem	Alarm - Other	Motor Vehicle Violation - Private Property
Injured On Duty	Applicant Landscaper/Snow Rem	Medical Call/Injury	Shoplifting  2C:20-11	Applicant Police Officer 	Property Damage (Non-Criminal)	Property - Found
Motor Vehicle Crash – Pedestrian Struck	Expungement	Funeral Escort	Parole/Probation Registry	Abandoned Auto	Terroristic Threats  2C:12-3	Hazardous Road Condition - Flooding
Motor Vehicle Crash -  w/injury	Notification Request	Wire down	Receiving Stolen Property  2C:20-7	Motor Vehicle Violation	Motor Vehicle Crash – Pedestrian Struck	Hazardous Road Condition - General
Burglary-Residential	Records Request - DCPP (DYFS)	BOLO	Intoxicated Person	Sex Offender-Intent to Move	Juvenile Investigation	Funeral Escort
Animal Complaint	School Crossing	Tampering: Public Records  2C:28-7	Missing Person- Return	Motor Vehicle Crash -  w/injury	Injured On Duty	Missing Person - Juvenile
Harassment  2C:33-4 	Applicant City Employee	Motor Vehicle Theft	Snow Plowed onto Public Street	Motor Vehicle Theft	Applicant ABC License	Motor Vehicle Theft - 2C:20-3
Hazardous Road Condition –Flooding	Court - Municipal	Computer Issue – Vehicle	City Ordinance Warning	Medical Call/Injury	Landlord / Tenant Dispute	Property - Lost
Juvenile Investigation 	Identity Theft	Applicant Police Officer 	Medical Call/Injury	Suicidal Party	Fight -Unarmed	Suicidal Party
Applicant Landscaper/Snow Rem	Unknown Investigation	Good Conduct Letter Request	Training	Alarm - Panic	E.D.P. 	Coffee Break
Training 	Docket – Drop Off	Applicant Firearm	Violation: TRO/ FRO  2C:25-31	E.D.P. 	Motor Vehicle - Private Property Tow	TAPS - Business
Applicant Vending License	Criminal Trespass  2C:18-3	Lewdness  2C:14-4	Animal Complaint	Applicant Firearm	Stolen Article	Motor Vehicle Crash -  w/injury
Medical Call	Applicant All Others	Juvenile Complaint (Non-Criminal)	Animal Bite Incident	Discovery-Non Specific	Criminal Mischief  2C:17-3	Assist Other Agency
Records Request	Child Custody Dispute	Docket – Pick up	Wire down	Shoplifting  2C:20-11	Transportation	Medical Call/Injury
Harassment  2C:33-4	City Ordinance Warning	Applicant City Employee	Police Assist	Duty to Warn 	Coffee Break	Dogs at Large
Hazardous Condition -Sewer Call	General Information	Warrant Arrest	School Crossing	Theft of Services  2C:20-8	Hazardous Road Condition -General	Animal Complaint
Theft  2C:20-3	Property – Found	Arrest Process	Alarm - Other	Motor Vehicle Violation – Commercial Vehicle	ESU - Response	Alarm - Other
Traffic Enforcement Detail	Fingerprints	Discovery-Non Specific	Sex Offender Registration	Juvenile Complaint (Non-Criminal)	Motor Vehicle Complaint	Warrant Arrest
Bad Checks 2C:21-5	Hazardous Condition -Sewer Call	Discovery-Motor Vehicle	Car Seat Installation	Court Order	Funeral Escort	Traffic Enforcement Detail
Assist Other Agency	Juvenile Complaint (Criminal)	Juvenile Investigation	Escort - Money	Intoxicated Person	Hazard All Other	Terroristic Threats - 2C:12-3
Alarm - Panic	Discovery-MotorVehicle	Docket – Drop Off	Transportation	Warrant Arrest	FTO Documentation	Notification Request
Unwanted Person	Intoxicated Person	NCIC Record	Aggravated Assault 2C:12-1b	Hazardous Condition -Health / Welfare	Property Damage (Police Vehicle)	Transportation
Overnight Parking	Motor Vehicle Crash-Police Vehicle	Investigation-Follow up	Property Returned: Lost and Found	Motor Vehicle Lock-out	Training	Patrol Check - Extra Duty Detail
Suspicious Vehicle	Parole/Probation Registry	Assist Motorist	Robbery  2C:15-1	Coffee Break	Arrest Process	Discovery - Non Specific
Peace Officer	Wire down	Non-Emergency Assist	Computer Issue – Vehicle	Car Seat Installation	Good Conduct Letter Request	Property Disposition
Simple Assault  2C:12-1a	Surrender of Weapon	Burglary  2C:18-2	Criminal Attempt  2C:5-1	Simple Assault  2C:12-1a	Child Abuse - Title 9	Property Damage - Non-Criminal
CDS/Possession: Influence  2C:35-10	Non-Emergency Assist	Motor Vehicle Crash-Police Vehicle	Tampering: Public Records  2C:28-7	Unlawful Possess./Weapons  2C:39-5	Lock-Out Residence	Good Conduct Letter Request
Suspicious Incident	Shots Fired Investigation	Special Assignment	fire	Docket – Drop Off	ABC Liquor License Applicant	Criminal Mischief - Vehicle - 2C:17-3
Shoplifting  2C:20-11	Aggravated Assault 2C:12-1b	Terroristic Threats  2C:12-3	Theft of Services  2C:20-8	Parking Offense	Tree limb down	Landlord / Tenant Dispute
Narcotics Investigation	Sexual Assault  2C:14-2b	Duty to Warn 	Hazardous Road Condition –Ice	Assist Motorist	Hazardous Road Condition –Flooding	Checked Road Conditions (Weather)
Medical Call/Injury	Illegal Dumping	Dead Animal	Arrest Process	Applicant Handicapped Permit	Property Damage (City Property)	Discovery - Motor Vehicle
Noise Complaint	Hazardous Road Condition –Flooding	HAZ-MAT Incident	Hazardous Road Condition -General	Traffic Sign / Signal Malfunction	Court - Municipal	Prisoner Log 
E.D.P.	Recovered Stolen Vehicle	Group	Property Damage (Non-Criminal)	Docket – Pick up	Animal Bite Incident	Missing Person - Return - Juvenile
Motor Vehicle Complaint	Generated in Error	License Plate-Lost/Stolen	Sexual Assault  2C:14-2b	Sexual Assault  2C:14-2b	Conditional Dismissal Process	Court - Municipal
Illegal Dumping	Money Laundering	Applicant Handicapped Permit	License Plate-Lost/Stolen	Applicant Vending License	Traffic Sign / Signal Malfunction	Applicant Spa Therapy
Patrol Check	Domestic Violence  2C:25-21	Landlord / Tenant Dispute	Hazardous Condition -Health / Welfare	Injured On Duty	Violation: TRO/ FRO  2C:29-9b	Conditional Dismissal Process
Property Damage (Non-Criminal)	Discovery-Non Specific	Suspicious Activity Report	Investigation-Follow up	Illegal Dumping	Parking Offense	Bias Incident
Fraud	Counterfeit Money	Hazard-Pothole	Traffic Sign / Signal Malfunction	Dead Animal	Domestic Violence 2C:25-21	School Crossing
Fire Department Call	Prisoner Log 	General Information	Hazard-Pothole	fire	Traffic Light Malfunction	License Plate-Lost/Stolen
Sex Offender Registration	Animal Cruelty	Applicant Landscaper/Snow Rem	Motor Vehicle Crash-Police Vehicle	Abandoned 9-1-1Emergency	Applicant Concealed Carry	A.T.R.A.
Terroristic Threats  2C:12-3	Motor Vehicle Violation	Traffic Enforcement Detail	Motor Vehicle Theft  2C:20-3	General Investigation	Sex Offender-General	Hazardous Road Condition - Ice
Theft of Services  2C:20-8	Abandoned Auto	Surrender of Ammunition	Assault (use **Simple Assault)	Special Assignment	Car Seat Installation	Fire
Meeting	Sex Offender Registration-School Enrollment	Unlawful Taking  2C:20-10	Property Damage (Police Vehicle)	Unregistered Vehicle  39:3-4	Applicant City Employee	CDS/Possession: Influence - 2C:35-10
Refuel Vehicle	Animal Bite Incident	Service of Summons	Generated in Error	Applicant Spa Therapy	Shots Fired Investigation	Applicant Snow Removal 
Police Assist	Juvenile Complaint (Non-Criminal)	ABC Inspection	Applicant Taxi / Limo	Property Damage (Non-Criminal)	Suspicious Item	Records Request
Repossessed Motor Vehicle	Bias Incident	ABC Liquor License Applicant	Abandoned Auto	Unlawful Taking  2C:20-10	U-Visa	Juvenile Complaint (Non-Criminal)
Endangering Welfare  2C:24-4	Sex Offender-Intent to Move	Violation of Court Order	Applicant Towing	Receiving Stolen Property  2C:20-7	Insecure Building	Criminal Sexual Contact - 2C:14-3a
Applicant All Others	Hazardous Road Condition –Ice	Hazardous Road Condition -General	Sex Offender-Removal Order	Court - Municipal	Applicant Pistol Permit	Burglary - Auto - 2C:18-2
Court - Municipal	Funeral Escort	CDS/Possession: Influence  2C:35-10	Theft by Deception  2C:20-4	Stabbing	Animal Cruelty	Tree limb down
Prisoner Log -Routine Response	Motor Vehicle Crash-Bicyclist Struck	Sex Offender-Intent to Move	Special Assignment	Parole/Probation Registry	License Plate-Lost/Stolen	Traffic Hazard
Background Checks	Surrender of Ammunition	Sex Offender Investigation	Docket – Pick up	Motor Vehicle Crash-Police Vehicle	Unlawful Taking  2C:20-10	Urinating in Public
Dogs at Large	Motor Vehicle Theft  2C:20-3	Parole/Probation Registry	U-Visa	Hazardous Road Condition –Flooding	Theft of Lost/Mislaid Property  2C:20-6	Refuel Vehicle
Identity Theft	Hazardous Condition -Health / Welfare	Motor Vehicle Crash – Pedestrian Struck	Terroristic Threats  2C:12-3	Violation: TRO/ FRO  2C:25-31	Motor Vehicle Crash - Pedestrian Struck	Community Engagement - School Outreach
Suicidal Party	Terroristic Threats  2C:12-3	Animal Cruelty	Sex Offender-Serve Tier Papers	Animal Bite Incident	Motor Vehicle Violation – Commercial Vehicle	Parking Offense
Sexual Assault  2C:14-2b	Suicide	Hazardous Road Condition –Ice	Service of Warrant	Recovered Stolen Vehicle	RDF Deployment	ABC Inspection
Fight -Unarmed	Landlord / Tenant Dispute	Animal Bite Incident	Illegal Dumping	Computer Issue – Vehicle	Hazardous Condition -Health / Welfare	Criminal Mischief - 2C:17-3
Recovered Stolen Vehicle	Applicant Jewelry	City Ordinance Warning	Contempt of Court  2C:29-9	Missing Person- Return	Recovered Stolen Vehicle	Generated in Error
Violation: TRO/ FRO  2C:25-31	Theft of Lost/Mislaid Property  2C:20-6	Hazardous Road Condition –Flooding	Unlawful Taking  2C:20-10	School Detail	Applicant Towing	Overnight Parking
Juvenile Investigation	Duty to Warn 	Simple Assault  2C:12-1a	Stranded Party	Court - Superior	Motor Vehicle Violation - Private Property	Property Damage - City Property
Burglary  2C:18-2	Pursuit – Motor Vehicle	Missing Person- Return	NCIC Record	Bias Incident	TAPS - ESU - Business	Credit Cards - Unlawful Use - 2C:21-6
ABC Inspection	Property Damage (Police Vehicle)	General Investigation	General Investigation	School Crossing	TAPS - Housing	Aggravated Assault - 2C:12-1b
Shots Fired Investigation	Credit Cards: Unlawful Use  2C:21-6	Criminal Trespass  2C:18-3	Hazardous Road Condition –Flooding	Violation of Court Order	TAPS - Business	Suspicious Item
Hazardous Road Condition –Ice	Service of Warrant	Sex Offender-Serve Tier Papers	Landlord / Tenant Dispute	Animal Cruelty	TAPS - Park	Applicant Pistol Permit
City Ordinance Warning	Docket – Pick up	School Crossing	Weapons/Unlawful Purposes  2C:39-4	Motor Vehicle Theft  2C:20-3	Service - TRO	FTO Documentation
Parking Complaint	Medical Emergency	Property Damage (Police Vehicle)	Juvenile Complaint (Criminal)	Handle With Care	0	Recovered Stolen Vehicle
Non-Emergency Assist	Stabbing	Motor Vehicle Theft  2C:20-3	Traffic Enforcement Detail	Stalking  2C:12-10	Motor Vehicle Crash - Hit and Run	Unknown Investigation
Unlawful Taking  2C:20-10	ABC Liquor License Applicant	Hazardous Condition -Health / Welfare	Identity Theft	Disorderly Conduct  2C:33-2	Tampering: Public Records  2C:28-7	Burglary - Residence - 2C:18-2
Counterfeit Money	Dead Animal	Child Abuse - Title 9	Juvenile Complaint (Non-Criminal)	Service of Warrant	Property - Found	Court Officer
Arrest Process	Tampering: Public Records  2C:28-7	Service of Subpoena	Credit Cards: Unlawful Use  2C:21-6	ABC Liquor License Applicant	Credit Cards - Unlawful Use  2C:21-6	Assist Motorist
Traffic Sign / Signal Malfunction	Disorderly Conduct  2C:33-2	Identity Theft	Duty to Warn-E.D.P.	Applicant Taxi / Limo	Property - Lost	Dead Animal
Theft by Deception  2C:20-4	CDS/Possession: Influence  2C:35-10	Unregistered Vehicle  39:3-4	Good Conduct Letter Request	Landlord / Tenant Dispute	TAPS - School	Service - TERPO
Motor Vehicle Theft	ABC Inspection	Fight -Armed	Bias Incident	Property Damage (Police Vehicle)	Medical Call - Oxygen	Motor Vehicle Crash - Bicyclist Struck
"TARgeted Area Patrol
"	Suspicious Activity Report	Sexual Assault  2C:14-2b	ABC Violation	Shots Fired Investigation	Property Damage - Non-Criminal	Juvenile Complaint Signed
Assault (use **Simple Assault)	Applicant Vending License	Child Custody Dispute	Funeral Escort	Traffic Hazard	TAPS - Parking Garage	Robbery - 2C:15-1
Theft of Identity  2C:21-17	Police Assist	Robbery  2C:15-1	ERPO/TERPO	Discovery-Criminal	TAPS - ESU - Medical Facility	TAS Alert - Stolen License Plate
Wire down	Violation: TRO/ FRO  2C:25-31	Applicant Jewelry	Applicant Vending License	Temporary Parking	TAPS - ESU - School	Injured On Duty
Applicant Jewelry	Stalking  2C:12-10	Applicant Taxi / Limo	General Information	Hazardous Road Condition -General	Mental Health Incident	Unregistered Vehicle - 39:3-4
Docket – Pick up	Unregistered Vehicle  39:3-4	Lo-Jack Hit - Tracking Signal	Recovered Stolen Vehicle	Sex Offender Investigation	Weapons - Unlawful Purposes 2C:39-4	City Ordinance Warning
CDS/Dist.; School Property  2C:35-7	Stolen Article	Shots Fired Investigation	Drinking in Public	ABC Violation	Burglary - Residence - 2C: 18-2	Motor Vehicle Violation - Commercial Vehicle
Landlord / Tenant Dispute	Traffic Hazard	Theft of Services  2C:20-8	Discovery-Non Specific	Theft by Deception  2C:20-4	DCPP (DYFS)	Motor Vehicle Crash - Police Vehicle
Traffic Hazard	Fight -Armed	Assault (use **Simple Assault)	Surrender of Weapon	Identity Theft	Docket – Drop Off	Community Engagement - Public Education
Court - Superior	Applicant Police Officer 	Service of Warrant	Violation of Court Order	Robbery  2C:15-1	Refuel Vehicle	Unlawful Taking - 2C:20-10
Unlawful Possess./Weapons  2C:39-5	Violation of Court Order	Endangering Welfare  2C:24-4	Bad Checks 2C:21-5	Training Record	Unlawful Possess./Weapons  2C:39-5	Missing Person - Return - Adult
